line,start,to,count
1,1,2,2
1,2,3,1
1,3,4,1
1,4,5,2
1,5,6,3
1,6,7,3
1,7,8,4
1,8,9,3
1,9,10,2
1,10,11,4
1,11,12,3
1,12,13,3
1,13,14,3
1,14,15,3
1,15,16,5
1,16,17,3
1,17,18,1
1,18,19,1
1,19,20,1
1,20,21,1
1,21,22,1
1,22,23,1
1,23,24,1
1,24,25,1
1,25,26,1
1,26,27,1
1,27,28,1
2,1,2,1
2,2,3,1
2,3,4,1
2,4,5,1
2,5,6,1
2,6,7,1
2,7,8,1
2,8,9,1
2,9,10,1
2,10,11,1
2,11,12,3
2,12,13,3
2,13,14,1
2,14,15,4
2,15,16,4
2,16,17,1
2,17,18,2
2,18,19,4
2,19,20,5
2,20,21,4
2,21,22,3
2,22,23,4
2,23,24,3
2,24,25,1
2,25,26,1
2,26,27,1
2,27,28,2
2,28,29,3
2,29,30,2
2,30,31,0
3,1,2,2
3,2,3,2
3,3,4,2
3,4,5,3
3,5,6,5
3,6,7,4
3,7,8,4
3,8,9,5
3,9,10,5
3,10,11,5
3,11,12,4
3,12,13,4
3,13,14,4
3,14,15,2
3,15,16,2
3,16,17,2
3,17,18,1
3,18,19,1
3,19,20,1
3,20,21,1
3,21,22,1
3,22,23,1
3,23,24,1
3,24,25,1
3,25,26,1
3,26,27,1
3,27,28,1
3,28,29,1
4,1,2,4
4,2,3,2
4,3,4,2
4,4,5,3
4,5,6,2
4,6,7,2
4,7,8,2
4,8,9,1
4,9,10,2
4,10,11,3
4,11,12,5
4,12,13,4
4,13,14,1
4,14,15,2
4,15,16,2
4,16,17,2
4,17,18,3
4,18,19,4
4,19,20,4
4,20,21,4
4,21,22,5
4,22,23,5
4,23,24,5
4,24,25,4
4,25,26,4
4,26,1,5
5,1,2,2
5,2,3,1
5,3,4,1
5,4,5,1
5,5,6,1
5,6,7,1
5,7,8,1
5,8,9,1
5,9,10,1
5,10,11,1
6,1,2,1
6,2,3,1
6,3,4,1
6,4,5,1
6,5,6,1
6,6,7,1
6,7,8,2
6,8,9,2
6,9,10,1
6,10,11,1
6,11,12,1
6,12,13,1
6,13,14,1
6,14,15,1
6,15,16,1
6,16,17,4
6,17,18,5
6,18,19,3
6,19,20,2
6,20,21,1
6,21,22,2
6,22,23,2
6,23,24,1
6,24,25,1
6,25,26,1
6,26,27,1
6,27,28,3
7,1,2,3
7,2,3,3
7,3,4,1
7,4,5,1
7,5,6,2
7,6,7,2
7,7,8,2
7,8,9,2
7,9,10,1
7,10,11,2
7,11,12,3
7,12,13,3
7,13,14,3
7,14,15,3
7,15,16,2
7,16,17,2
7,17,18,4
7,18,19,3
7,19,20,1
7,20,21,1
7,21,22,1
7,22,23,1
7,23,24,1
7,24,25,1
7,25,26,1
7,26,27,1
7,27,28,1
7,28,29,1
7,29,30,1
7,30,31,1
7,31,32,1
7,32,33,1
8,1,2,1
8,2,3,1
8,3,4,1
8,4,5,1
8,5,6,1
8,6,7,3
8,7,8,3
8,8,9,1
8,9,10,2
8,10,11,2
8,11,12,2
8,12,13,3
8,13,14,3
8,14,15,2
8,15,16,3
8,16,17,4
8,17,18,2
8,18,19,1
8,19,20,2
8,20,21,2
8,21,22,2
8,22,23,2
8,23,24,1
8,24,25,1
8,25,26,1
8,26,27,1
8,27,28,1
8,28,29,1
8,29,30,1
9,1,2,4
9,2,3,4
9,3,4,1
9,4,5,2
9,5,6,3
9,6,7,2
9,7,8,2
9,8,9,3
9,9,10,4
9,10,11,5
9,11,12,3
9,12,13,1
9,13,14,1
9,14,15,1
9,15,16,1
9,16,17,1
9,17,18,1
9,18,19,1
9,19,20,1
9,20,21,1
9,21,22,1
9,22,23,1
9,23,24,1
9,24,25,1
9,25,26,1
10,1,2,1
10,2,3,1
10,3,4,1
10,4,5,1
10,5,6,1
10,6,7,1
10,7,8,2
10,8,9,2
10,9,10,2
10,10,11,2
10,11,12,2
10,12,13,3
10,13,14,2
10,14,15,2
10,15,16,3
10,16,17,4
10,17,18,3
10,18,19,2
10,19,20,4
10,20,21,3
10,21,22,1
10,22,23,1
10,23,24,1
10,24,25,1
10,25,26,1
10,26,27,2
10,27,28,3
10,24,29,1
10,29,30,1
10,30,31,1
11,4,5,2
11,5,6,1
11,6,7,1
11,7,8,1
11,8,9,3
11,9,10,3
11,10,11,1
11,11,12,2
11,12,13,2
11,13,14,3
11,14,15,4
11,15,16,3
11,16,17,3
11,17,18,4
11,18,19,3
11,19,20,1
11,20,21,1
11,21,22,1
11,22,23,1
11,23,24,1
11,24,25,1
11,25,26,1
11,26,27,1
11,27,28,1
11,28,29,1
11,29,30,1
11,30,31,1
11,28,32,1
11,32,33,1
11,33,34,1
11,34,35,1
11,35,36,1
11,36,37,1
11,37,38,1
12,1,2,1
12,2,3,1
12,3,4,1
12,4,5,2
12,5,6,2
12,6,7,1
12,7,8,1
12,8,9,1
12,9,10,1
12,10,11,1
12,11,12,2
12,12,13,2
12,13,14,1
12,14,15,2
12,15,16,3
13,1,2,1
13,2,3,1
13,3,4,1
13,4,5,1
13,5,6,1
13,6,7,3
13,7,8,4
13,8,9,2
13,9,10,2
16,1,2,1
16,2,3,1
16,3,4,1
16,4,5,1
16,5,6,1
16,6,7,1
16,7,8,1
16,8,9,1
16,9,10,1
16,10,11,2
16,11,12,2
16,12,13,3
