爬取链接(__url),商户ID(shop_id),商户名(shop_name),商户分类(shop_categories),纬度（腾讯地图）(latitude),经度（腾讯地图）(longitude),人均消费(shop_spend),评分(shop_scores),评论数(shop_comment_num),大家认为(tags),
"http://www.dianping.com/shop/57661311","57661311","La Moda(旗舰店)","[""上海餐厅"",""新天地"",""咖啡厅""]","31.220239","121.474448","150元","[{""score"":""7.9"",""score_title"":""口味""},{""score"":""8.8"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","1382","[{""tag"":""回头客"",""count"":""21""},{""tag"":""干净卫生"",""count"":""4""},{""tag"":""高大上"",""count"":""18""},{""tag"":""点心好"",""count"":""93""},{""tag"":""味道赞"",""count"":""222""},{""tag"":""环境优雅"",""count"":""157""},{""tag"":""菜品精致"",""count"":""4""},{""tag"":""下午茶"",""count"":""287""},{""tag"":""文艺清新"",""count"":""17""},{""tag"":""发发呆"",""count"":""12""}]",
"http://www.dianping.com/shop/24497217","24497217","Wolfgang Puck Bar & Grill(新天地店)","[""上海餐厅"",""新天地"",""西餐""]","31.220673","121.474833","222元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""8.0"",""score_title"":""服务""}]","1400","[{""tag"":""回头客"",""count"":""37""},{""tag"":""干净卫生"",""count"":""15""},{""tag"":""歪果仁出没"",""count"":""9""},{""tag"":""牛肉赞"",""count"":""75""},{""tag"":""下午茶"",""count"":""252""},{""tag"":""Brunch"",""count"":""29""},{""tag"":""朋友聚餐"",""count"":""20""},{""tag"":""工作餐"",""count"":""17""},{""tag"":""请客"",""count"":""7""}]",
"http://www.dianping.com/shop/18738097","18738097","Uncle5(上海第一百货店)","[""上海餐厅"",""人民广场"",""本帮江浙菜""]","31.23505","121.474775","77元","[{""score"":""8.0"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""7.9"",""score_title"":""服务""}]","10104","[{""tag"":""回头客"",""count"":""362""},{""tag"":""上菜快"",""count"":""276""},{""tag"":""干净卫生"",""count"":""85""},{""tag"":""朋友聚餐"",""count"":""114""},{""tag"":""现做现卖"",""count"":""53""},{""tag"":""工作餐"",""count"":""29""},{""tag"":""请客"",""count"":""25""},{""tag"":""家庭聚餐"",""count"":""23""},{""tag"":""文艺清新"",""count"":""14""},{""tag"":""下午茶"",""count"":""13""}]",
"http://www.dianping.com/shop/13879098","13879098","清水日本料理(仙乐斯广场店)","[""上海餐厅"",""人民广场"",""日本菜"",""日本料理""]","31.23129","121.468976","272元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","6091","[{""tag"":""上菜快"",""count"":""427""},{""tag"":""回头客"",""count"":""275""},{""tag"":""干净卫生"",""count"":""76""},{""tag"":""有萌宠"",""count"":""17""},{""tag"":""海鲜棒"",""count"":""105""},{""tag"":""朋友聚餐"",""count"":""99""},{""tag"":""请客"",""count"":""60""},{""tag"":""公司聚餐"",""count"":""44""},{""tag"":""工作餐"",""count"":""43""},{""tag"":""家庭聚餐"",""count"":""10""}]",
"http://www.dianping.com/shop/69039795","69039795","寻鲜日本料理(仙乐斯广场店)","[""上海餐厅"",""人民广场"",""日本菜"",""日本料理""]","31.23129","121.468976","86元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.4"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","431","[{""tag"":""上菜快"",""count"":""12""},{""tag"":""回头客"",""count"":""7""},{""tag"":""干净卫生"",""count"":""21""},{""tag"":""海鲜棒"",""count"":""4""},{""tag"":""肉类好"",""count"":""29""},{""tag"":""主食赞"",""count"":""8""},{""tag"":""菜品不错"",""count"":""46""},{""tag"":""味道赞"",""count"":""111""},{""tag"":""环境优雅"",""count"":""56""},{""tag"":""饮品赞"",""count"":""4""}]",
"http://www.dianping.com/shop/67716431","67716431","Corner Lifestyle","[""上海餐厅"",""董家渡"",""咖啡厅""]","31.21877","121.49885","66元","[{""score"":""8.8"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""8.9"",""score_title"":""服务""}]","96","[{""tag"":""回头客"",""count"":""4""},{""tag"":""菜品健康"",""count"":""3""},{""tag"":""点心好"",""count"":""3""},{""tag"":""味道赞"",""count"":""18""},{""tag"":""环境优雅"",""count"":""15""},{""tag"":""分量足"",""count"":""3""},{""tag"":""服务热情"",""count"":""13""},{""tag"":""性价比高"",""count"":""6""},{""tag"":""下午茶"",""count"":""22""},{""tag"":""Brunch"",""count"":""8""}]",
"http://www.dianping.com/shop/23990997","23990997","哈灵面馆(广西北路店)","[""上海餐厅"",""人民广场"",""小吃快餐""]","31.236563","121.476586","33元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""6.7"",""score_title"":""环境""},{""score"":""7.1"",""score_title"":""服务""}]","7720","[{""tag"":""回头客"",""count"":""347""},{""tag"":""干净卫生"",""count"":""135""},{""tag"":""主食赞"",""count"":""191""},{""tag"":""肉类好"",""count"":""168""},{""tag"":""分量足"",""count"":""941""},{""tag"":""现做现卖"",""count"":""190""},{""tag"":""深夜食堂"",""count"":""76""},{""tag"":""朋友聚餐"",""count"":""50""},{""tag"":""弄堂小店"",""count"":""30""}]",
"http://www.dianping.com/shop/11559364","11559364","CASANOVA意大利餐厅(外滩店)","[""上海餐厅"",""外滩"",""西餐"",""意大利菜""]","31.234614","121.490592","306元","[{""score"":""7.6"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""8.2"",""score_title"":""服务""}]","2952","[{""tag"":""回头客"",""count"":""44""},{""tag"":""干净卫生"",""count"":""12""},{""tag"":""歪果仁出没"",""count"":""5""},{""tag"":""下午茶"",""count"":""369""},{""tag"":""工作餐"",""count"":""59""},{""tag"":""Brunch"",""count"":""55""},{""tag"":""朋友聚餐"",""count"":""28""},{""tag"":""年会"",""count"":""11""},{""tag"":""请客"",""count"":""7""}]",
"http://www.dianping.com/shop/13893348","13893348","银子日本料理铁板烧(人民广场店)","[""上海餐厅"",""人民广场"",""日本菜"",""日式烧烤/铁板烧""]","31.236668","121.474928","178元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""7.6"",""score_title"":""环境""},{""score"":""8.2"",""score_title"":""服务""}]","4896","[{""tag"":""回头客"",""count"":""289""},{""tag"":""上菜快"",""count"":""281""},{""tag"":""干净卫生"",""count"":""53""},{""tag"":""海鲜棒"",""count"":""61""},{""tag"":""牛肉赞"",""count"":""79""},{""tag"":""非活动评论"",""count"":""5371""},{""tag"":""朋友聚餐"",""count"":""62""},{""tag"":""工作餐"",""count"":""39""},{""tag"":""请客"",""count"":""27""},{""tag"":""公司聚餐"",""count"":""23""}]",
"http://www.dianping.com/shop/70864882","70864882","沙拉疯saladfun(人民广场店)","[""上海餐厅"",""人民广场"",""其他""]","31.234001","121.477832","30元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","158","[{""tag"":""菜品健康"",""count"":""21""},{""tag"":""回头客"",""count"":""7""},{""tag"":""干净卫生"",""count"":""16""},{""tag"":""肉类好"",""count"":""10""},{""tag"":""主食赞"",""count"":""3""},{""tag"":""味道赞"",""count"":""29""},{""tag"":""环境优雅"",""count"":""21""},{""tag"":""性价比高"",""count"":""17""},{""tag"":""服务热情"",""count"":""15""}]",
"http://www.dianping.com/shop/5614646","5614646","雲上云源生态云南菜","[""上海餐厅"",""南京东路"",""云南菜""]","31.237289","121.485452","96元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""8.2"",""score_title"":""服务""}]","4320","[{""tag"":""回头客"",""count"":""207""},{""tag"":""上菜快"",""count"":""58""},{""tag"":""有表演"",""count"":""23""},{""tag"":""干净卫生"",""count"":""26""},{""tag"":""工作餐"",""count"":""54""},{""tag"":""朋友聚餐"",""count"":""52""},{""tag"":""弄堂小店"",""count"":""42""},{""tag"":""请客"",""count"":""30""},{""tag"":""公司聚餐"",""count"":""13""},{""tag"":""隐于浮世"",""count"":""11""}]",
"http://www.dianping.com/shop/501252","501252","王宝和大酒店","[""上海餐厅"",""南京东路"",""蟹宴""]","31.234792","121.480551","486元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""7.8"",""score_title"":""服务""}]","685","[{""tag"":""回头客"",""count"":""14""},{""tag"":""干净卫生"",""count"":""16""},{""tag"":""高大上"",""count"":""10""},{""tag"":""海鲜棒"",""count"":""3""},{""tag"":""牛肉赞"",""count"":""4""},{""tag"":""菜品不错"",""count"":""50""},{""tag"":""味道赞"",""count"":""119""},{""tag"":""请客"",""count"":""49""},{""tag"":""年会"",""count"":""11""},{""tag"":""公司聚餐"",""count"":""8""},{""tag"":""朋友聚餐"",""count"":""5""}]",
"http://www.dianping.com/shop/24873505","24873505","EQ(旗舰店)","[""上海餐厅"",""南京东路"",""西餐"",""西式简餐""]","31.235489","121.484135","80元","[{""score"":""7.9"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""8.2"",""score_title"":""服务""}]","704","[{""tag"":""回头客"",""count"":""11""},{""tag"":""干净卫生"",""count"":""28""},{""tag"":""歪果仁出没"",""count"":""3""},{""tag"":""海鲜棒"",""count"":""3""},{""tag"":""牛肉赞"",""count"":""8""},{""tag"":""下午茶"",""count"":""87""},{""tag"":""工作餐"",""count"":""44""},{""tag"":""Brunch"",""count"":""31""},{""tag"":""现做现卖"",""count"":""9""}]",
"http://www.dianping.com/shop/34368198","34368198","Hello Kitty Bistro Bianco","[""上海餐厅"",""南京东路"",""西餐""]","31.23655","121.48339","125元","[{""score"":""7.5"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""8.5"",""score_title"":""服务""}]","2377","[{""tag"":""有萌宠"",""count"":""15""},{""tag"":""回头客"",""count"":""14""},{""tag"":""干净卫生"",""count"":""38""},{""tag"":""牛肉赞"",""count"":""13""},{""tag"":""味道赞"",""count"":""330""},{""tag"":""环境优雅"",""count"":""233""},{""tag"":""菜品不错"",""count"":""107""},{""tag"":""高大上"",""count"":""6""},{""tag"":""下午茶"",""count"":""280""},{""tag"":""朋友聚餐"",""count"":""19""}]",
"http://www.dianping.com/shop/19291503","19291503","鑫海汇海鲜烤肉火锅自助餐厅(雅居乐国际广场店)","[""上海餐厅"",""人民广场"",""自助餐""]","31.23575","121.47306","80元","[{""score"":""7.7"",""score_title"":""口味""},{""score"":""7.8"",""score_title"":""环境""},{""score"":""7.7"",""score_title"":""服务""}]","16806","[{""tag"":""回头客"",""count"":""812""},{""tag"":""干净卫生"",""count"":""280""},{""tag"":""上菜快"",""count"":""54""},{""tag"":""海鲜棒"",""count"":""74""},{""tag"":""点心好"",""count"":""212""},{""tag"":""高大上"",""count"":""30""},{""tag"":""朋友聚餐"",""count"":""311""},{""tag"":""家庭聚餐"",""count"":""79""},{""tag"":""请客"",""count"":""42""},{""tag"":""公司聚餐"",""count"":""42""}]",
"http://www.dianping.com/shop/32476237","32476237","魔签麻辣料理馆(云南南路店)","[""上海餐厅"",""人民广场"",""川菜"",""川菜/家常菜""]","31.226365","121.481521","81元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""8.5"",""score_title"":""环境""},{""score"":""8.1"",""score_title"":""服务""}]","5954","[{""tag"":""回头客"",""count"":""173""},{""tag"":""撸串圣地"",""count"":""137""},{""tag"":""干净卫生"",""count"":""235""},{""tag"":""海鲜棒"",""count"":""14""},{""tag"":""高大上"",""count"":""24""},{""tag"":""深夜食堂"",""count"":""200""},{""tag"":""朋友聚餐"",""count"":""153""},{""tag"":""工作餐"",""count"":""16""},{""tag"":""下午茶"",""count"":""12""},{""tag"":""家庭聚餐"",""count"":""8""}]",
"http://www.dianping.com/shop/23572886","23572886","TPlus茶家(新邻生活广场店)","[""上海餐厅"",""老西门"",""面包甜点"",""饮品""]","31.211485","121.487126","17元","[{""score"":""8.5"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","808","[{""tag"":""回头客"",""count"":""30""},{""tag"":""上菜快"",""count"":""10""},{""tag"":""干净卫生"",""count"":""14""},{""tag"":""高大上"",""count"":""7""},{""tag"":""饮品赞"",""count"":""109""},{""tag"":""味道赞"",""count"":""135""},{""tag"":""分量足"",""count"":""7""},{""tag"":""服务热情"",""count"":""115""},{""tag"":""性价比高"",""count"":""14""},{""tag"":""下午茶"",""count"":""10""}]",
"http://www.dianping.com/shop/16983892","16983892","瑞福园(瑞金二路店)","[""上海餐厅"",""瑞金宾馆区"",""本帮江浙菜"",""本帮菜""]","31.212424","121.465672","150元","[{""score"":""8.8"",""score_title"":""口味""},{""score"":""7.8"",""score_title"":""环境""},{""score"":""7.6"",""score_title"":""服务""}]","1019","[{""tag"":""回头客"",""count"":""57""},{""tag"":""干净卫生"",""count"":""33""},{""tag"":""上菜快"",""count"":""10""},{""tag"":""肉类好"",""count"":""19""},{""tag"":""高大上"",""count"":""6""},{""tag"":""菜品不错"",""count"":""134""},{""tag"":""味道赞"",""count"":""163""},{""tag"":""家庭聚餐"",""count"":""20""},{""tag"":""请客"",""count"":""19""},{""tag"":""朋友聚餐"",""count"":""5""}]",
