__url,shop_id,shop_name,shop_categories,shop_rank,latitude,longitude,shop_spend,shop_scores,shop_comment_num,tags
"http://www.dianping.com/shop/17708177","17708177","炎の私厨料理","[""上海餐厅"",""南京西路"",""日本菜"",""日本料理""]","准五星商户","31.226869","121.457295","206元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""8.5"",""score_title"":""环境""},{""score"":""8.9"",""score_title"":""服务""}]","1792","[{""tag"":""回头客"",""count"":""80""},{""tag"":""干净卫生"",""count"":""35""},{""tag"":""冬天吃过瘾"",""count"":""4""},{""tag"":""海鲜棒"",""count"":""16""},{""tag"":""牛肉赞"",""count"":""56""},{""tag"":""弄堂小店"",""count"":""269""},{""tag"":""隐于浮世"",""count"":""22""},{""tag"":""别墅"",""count"":""20""},{""tag"":""朋友聚餐"",""count"":""15""}]",
"http://www.dianping.com/shop/66079795","66079795","HungryLung&apos;sKitchen饿龙(晶品店)","[""上海餐厅"",""静安寺"",""西餐""]","四星商户","31.225185","121.446252","133元","[{""score"":""8.2"",""score_title"":""口味""},{""score"":""8.8"",""score_title"":""环境""},{""score"":""8.5"",""score_title"":""服务""}]","1936","[{""tag"":""回头客"",""count"":""50""},{""tag"":""干净卫生"",""count"":""17""},{""tag"":""牛肉赞"",""count"":""78""},{""tag"":""海鲜棒"",""count"":""7""},{""tag"":""Brunch"",""count"":""394""},{""tag"":""工作餐"",""count"":""48""},{""tag"":""下午茶"",""count"":""39""},{""tag"":""朋友聚餐"",""count"":""28""},{""tag"":""请客"",""count"":""5""},{""tag"":""现做现卖"",""count"":""5""}]",
"http://www.dianping.com/shop/19362263","19362263","美誉餐室","[""上海餐厅"",""虹桥"",""小吃快餐"",""快餐简餐""]","四星商户","31.20457","121.403669","73元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""7.8"",""score_title"":""环境""},{""score"":""7.6"",""score_title"":""服务""}]","1272","[{""tag"":""回头客"",""count"":""50""},{""tag"":""干净卫生"",""count"":""144""},{""tag"":""上菜快"",""count"":""20""},{""tag"":""肉类好"",""count"":""77""},{""tag"":""海鲜棒"",""count"":""8""},{""tag"":""饮品赞"",""count"":""85""},{""tag"":""主食赞"",""count"":""35""},{""tag"":""分量足"",""count"":""54""},{""tag"":""工作餐"",""count"":""38""},{""tag"":""下午茶"",""count"":""12""},{""tag"":""深夜食堂"",""count"":""12""}]",
"http://www.dianping.com/shop/58746038","58746038","Phénix eatery & bar","[""上海餐厅"",""静安寺"",""西餐"",""法国菜""]","准五星商户","31.22245","121.44839","591元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""9.1"",""score_title"":""环境""},{""score"":""8.9"",""score_title"":""服务""}]","228","[{""tag"":""回头客"",""count"":""8""},{""tag"":""牛肉赞"",""count"":""14""},{""tag"":""海鲜棒"",""count"":""5""},{""tag"":""高大上"",""count"":""12""},{""tag"":""点心好"",""count"":""15""},{""tag"":""菜品不错"",""count"":""19""},{""tag"":""味道赞"",""count"":""41""},{""tag"":""环境优雅"",""count"":""41""},{""tag"":""下午茶"",""count"":""21""},{""tag"":""Brunch"",""count"":""16""}]",
"http://www.dianping.com/shop/21745704","21745704","冲天吼秘制龙虾","[""上海餐厅"",""同乐坊"",""海鲜""]","准五星商户","31.23601","121.44659","123元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""7.9"",""score_title"":""环境""},{""score"":""8.8"",""score_title"":""服务""}]","696","[{""tag"":""回头客"",""count"":""28""},{""tag"":""干净卫生"",""count"":""90""},{""tag"":""上菜快"",""count"":""7""},{""tag"":""海鲜棒"",""count"":""38""},{""tag"":""味道赞"",""count"":""159""},{""tag"":""菜品不错"",""count"":""15""},{""tag"":""服务热情"",""count"":""99""},{""tag"":""饮品赞"",""count"":""4""},{""tag"":""环境优雅"",""count"":""18""},{""tag"":""性价比高"",""count"":""16""}]",
"http://www.dianping.com/shop/68208286","68208286","赣忆碗(江西米粉)","[""上海餐厅"",""天山"",""江西菜""]","准五星商户","31.206319","121.401971","42元","[{""score"":""8.5"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""8.6"",""score_title"":""服务""}]","458","[{""tag"":""回头客"",""count"":""19""},{""tag"":""干净卫生"",""count"":""50""},{""tag"":""牛肉赞"",""count"":""10""},{""tag"":""高大上"",""count"":""5""},{""tag"":""味道赞"",""count"":""106""},{""tag"":""环境优雅"",""count"":""47""},{""tag"":""点心好"",""count"":""4""},{""tag"":""菜品不错"",""count"":""8""},{""tag"":""文艺清新"",""count"":""12""},{""tag"":""朋友聚餐"",""count"":""6""}]",
"http://www.dianping.com/shop/21805121","21805121","维记港式餐厅","[""上海餐厅"",""虹桥"",""粤菜"",""茶餐厅""]","准五星商户","31.200573","121.392257","116元","[{""score"":""8.8"",""score_title"":""口味""},{""score"":""8.7"",""score_title"":""环境""},{""score"":""8.5"",""score_title"":""服务""}]","1974","[{""tag"":""回头客"",""count"":""103""},{""tag"":""上菜快"",""count"":""44""},{""tag"":""干净卫生"",""count"":""55""},{""tag"":""牛肉赞"",""count"":""25""},{""tag"":""菜品不错"",""count"":""189""},{""tag"":""点心好"",""count"":""40""},{""tag"":""下午茶"",""count"":""93""},{""tag"":""朋友聚餐"",""count"":""18""},{""tag"":""工作餐"",""count"":""15""},{""tag"":""现做现卖"",""count"":""11""}]",
"http://www.dianping.com/shop/5148607","5148607","桐花和食(虹桥中山店)","[""上海餐厅"",""虹桥"",""日本菜"",""日本料理""]","准五星商户","31.197934","121.415139","356元","[{""score"":""8.8"",""score_title"":""口味""},{""score"":""9.1"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","5948","[{""tag"":""上菜快"",""count"":""322""},{""tag"":""回头客"",""count"":""313""},{""tag"":""菜品健康"",""count"":""205""},{""tag"":""干净卫生"",""count"":""67""},{""tag"":""海鲜棒"",""count"":""144""},{""tag"":""请客"",""count"":""61""},{""tag"":""朋友聚餐"",""count"":""57""},{""tag"":""公司聚餐"",""count"":""41""},{""tag"":""工作餐"",""count"":""28""},{""tag"":""家庭聚餐"",""count"":""18""}]",
"http://www.dianping.com/shop/69512475","69512475","力二道乐蟹屋","[""上海餐厅"",""古北"",""日本菜"",""日本料理""]","五星商户","31.194984","121.397733","515元","[{""score"":""9.2"",""score_title"":""口味""},{""score"":""9.2"",""score_title"":""环境""},{""score"":""9.2"",""score_title"":""服务""}]","136","[{""tag"":""回头客"",""count"":""3""},{""tag"":""干净卫生"",""count"":""4""},{""tag"":""高大上"",""count"":""4""},{""tag"":""菜品不错"",""count"":""7""},{""tag"":""味道赞"",""count"":""31""},{""tag"":""分量足"",""count"":""4""},{""tag"":""环境优雅"",""count"":""17""},{""tag"":""服务热情"",""count"":""27""},{""tag"":""性价比高"",""count"":""4""}]",
"http://www.dianping.com/shop/2367274","2367274","西郊5号 Maggie 5","[""上海餐厅"",""北新泾"",""本帮江浙菜"",""本帮菜""]","五星商户","31.205025","121.37692","705元","[{""score"":""9.0"",""score_title"":""口味""},{""score"":""9.2"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","1026","[{""tag"":""回头客"",""count"":""21""},{""tag"":""干净卫生"",""count"":""11""},{""tag"":""高大上"",""count"":""84""},{""tag"":""牛肉赞"",""count"":""32""},{""tag"":""请客"",""count"":""78""},{""tag"":""下午茶"",""count"":""35""},{""tag"":""朋友聚餐"",""count"":""15""},{""tag"":""别墅"",""count"":""14""},{""tag"":""家庭聚餐"",""count"":""10""},{""tag"":""隐于浮世"",""count"":""8""}]",
